GeneID	WT_na1	WT_na2	11_WT_na_CD8	dKO_na1	12_dKO_na_CD8
ID_481	31	75	62	66	57
ID_482	30	54	59	16	38
ID_483	16	25	31	6	12
ID_484	26	47	54	27	53
ID_485	14	24	18	20	37
ID_486	8	36	43	33	48
ID_487	4	8	15	13	25
ID_488	10	20	33	8	7
ID_489	32	77	89	68	75
ID_490	12	14	19	25	45
ID_491	30	50	30	36	48
ID_492	15	34	34	31	48
ID_493	10	23	20	26	23
ID_494	7	20	29	10	24
ID_495	36	82	110	66	128
ID_496	32	62	96	22	30
ID_497	12	54	52	24	16
ID_498	14	16	28	8	10
ID_499	8	22	19	8	5
ID_500	15	28	26	18	36
ID_501	14	26	28	24	41
ID_502	12	23	30	13	20
ID_503	20	42	47	38	74
ID_504	6	8	8	17	35
ID_505	7	9	19	31	48
ID_506	49	90	96	127	255
ID_507	21	22	24	26	67
ID_508	3	18	19	25	43
ID_509	27	62	64	54	57
ID_510	56	124	128	73	103
ID_511	20	46	51	29	51
ID_512	56	117	111	72	132
ID_513	11	24	18	14	27
ID_514	17	26	41	27	43
ID_515	52	101	117	68	126
ID_516	17	49	50	21	47
ID_517	30	55	74	45	75
ID_518	8	16	13	23	18
ID_519	105	228	240	127	221
ID_520	27	41	64	32	57
ID_521	13	27	41	7	12
ID_522	13	21	26	4	9
ID_523	7	21	13	9	10
ID_524	6	35	37	40	47
ID_525	10	40	56	35	73
ID_526	0	0	0	0	0
ID_527	70	156	131	87	179
ID_528	95	265	182	152	198
ID_529	6	15	22	7	26
ID_530	30	81	87	37	60
ID_531	16	32	39	6	9
ID_532	109	214	227	127	220
ID_533	24	45	49	44	59
ID_534	17	32	34	23	31
ID_535	16	51	41	25	29
ID_536	21	46	42	54	108
ID_537	8	25	15	11	13
ID_538	9	13	15	15	24
ID_539	27	56	29	37	54
ID_540	15	26	17	25	61
ID_541	16	34	23	31	34
ID_542	5	22	16	7	20
ID_543	66	121	104	63	103
ID_544	17	41	31	24	21
ID_545	48	119	110	69	108
ID_546	37	89	98	19	24
ID_547	43	130	124	78	114
ID_548	10	36	24	13	25
ID_549	17	42	37	27	38
ID_550	25	57	74	42	79
ID_551	21	76	71	49	78
ID_552	20	65	61	39	53
ID_553	15	27	29	12	18
ID_554	10	19	25	19	46
ID_555	20	21	32	27	52
ID_556	78	168	183	127	198
ID_557	11	35	41	29	46
ID_558	17	49	45	36	69
ID_559	8	9	24	6	5
ID_560	4	4	9	4	28
ID_561	9	19	22	13	11
ID_562	17	22	48	16	35
ID_563	9	23	22	34	43
ID_564	24	37	41	28	48
ID_565	23	56	49	24	75
ID_566	9	16	35	21	66
ID_567	24	90	54	82	146
ID_568	63	116	113	120	204
ID_569	19	28	35	25	48
ID_570	8	11	22	23	32
ID_571	11	28	36	30	39
ID_572	11	21	29	16	45
ID_573	5	20	23	12	15
ID_574	32	52	62	29	61
ID_575	118	262	264	171	260
ID_576	72	164	167	97	154
ID_577	6	7	13	7	29
ID_578	4	31	19	8	12
ID_579	30	64	67	37	54
ID_580	46	123	127	83	115
ID_581	26	81	64	41	59
ID_582	5	11	15	20	11
ID_583	2	1	3	1	0
ID_584	27	40	41	17	51
ID_585	37	121	97	60	89
ID_586	80	147	131	88	157
ID_587	50	129	136	85	167
ID_588	9	15	24	29	25
ID_589	11	39	43	36	30
ID_590	30	47	75	41	74
ID_591	4	28	27	17	27
ID_592	14	59	58	46	47
ID_593	50	137	136	68	114
ID_594	0	0	0	0	0
ID_595	39	57	67	55	82
ID_596	9	36	14	28	18
ID_597	139	330	327	204	355
ID_598	23	33	41	29	45
ID_599	65	175	131	76	136
ID_600	12	22	21	16	21
ID_601	25	67	54	34	41
ID_602	30	78	72	52	94
ID_603	20	78	61	48	66
ID_604	9	33	33	23	28
ID_605	14	26	28	15	29
ID_606	87	247	240	149	235
ID_607	121	293	211	146	212
ID_608	35	89	69	45	59
ID_609	36	81	88	32	68
ID_610	21	51	47	30	34
ID_611	22	51	67	25	36
ID_612	80	251	202	139	229
ID_613	20	44	36	23	33
ID_614	40	95	114	58	85
ID_615	71	167	172	94	166
ID_616	30	78	60	39	54
ID_617	94	199	164	137	170
ID_618	37	107	59	61	77
ID_619	5	20	26	24	41
ID_620	13	31	33	13	23
ID_621	55	123	129	72	113
