Name	Description	Control	Treatment
LOC100506371	11321	0.487254109770885	0.0
LOC100506457	11329	1.46618460342734	1.01981283887579
LOC100506497	11334	7.80491030456353	8.15850271100629
LOC100507006	11363	2.44069282296911	2.03962567775157
LOC100507065	11365	0.487254109770885	0.0
LOC100507140	11368	1.46323642068422	1.01981283887579
LOC100507144	11369	0.487254109770885	0.0
LOC100507156	11370	0.487254109770885	0.508717732839083
LOC100507195	11373	0.488728201142446	0.511095106036702
LOC100507283	11377	1.9504905304551	1.52853057171487
LOC100507387	11385	0.487254109770885	0.508717732839083
LOC100507391	11388	0.487254109770885	0.0
LOC100507468	11395	0.488728201142446	0.0
LOC100507564	11404	3.41372695113932	3.06181588982498
LOC100507661	11410	0.488728201142446	0.511095106036702
LOC100631378	11413	0.487254109770885	0.0
LOC100996291	11423	0.488728201142446	0.511095106036702
LOC100996342	11427	0.488728201142446	0.511095106036702
LOC100996634	11436	3.41667513388244	3.57053362266406
LOC100996654	11438	0.488728201142446	0.508717732839083
LOC101059948	11444	0.488728201142446	0.0
LOC101060091	11446	2.43921873159755	2.03962567775157
LOC101448202	11457	0.488728201142446	0.508717732839083
LOC101559451	11458	0.488728201142446	0.0
LOC101926897	11463	0.488728201142446	0.0
LOC101926935	11471	14.6441569378146	14.2750023710634
LOC101926943	11475	2.92794693273999	2.55072078378827
LOC101927070	11501	0.97450821954177	1.01981283887579
LOC101927178	11524	1.46323642068422	1.01981283887579
LOC101927243	11538	0.487254109770885	0.0
LOC101927285	11548	0.488728201142446	0.0
LOC101927354	11561	0.488728201142446	0.0
LOC101927356	11562	0.487254109770885	0.0
LOC101927416	11576	1.46618460342734	1.52853057171487
LOC101927446	11584	0.487254109770885	0.0
LOC101927668	11633	0.97450821954177	0.511095106036702
LOC101927697	11639	0.488728201142446	0.0
LOC101927701	11640	0.487254109770885	0.508717732839083
LOC101927730	11643	0.488728201142446	0.0
LOC101927740	11645	0.488728201142446	0.0
LOC101927797	11657	0.975982310913331	1.01743546567817
LOC101927844	11670	0.488728201142446	0.0
LOC101927932	11691	0.487254109770885	0.0
LOC101927954	11695	15.6171910659849	15.8011555695806
LOC101927967	11697	0.488728201142446	0.0
LOC101927972	11699	0.97450821954177	0.508717732839083
LOC101928008	11703	0.487254109770885	0.0
LOC101928069	11716	2.92942102411155	3.05943851662736
LOC101928075	11717	0.975982310913331	0.511095106036702
LOC101928103	11720	0.487254109770885	0.0
LOC101928168	11735	0.488728201142446	0.508717732839083
LOC101928191	11737	0.487254109770885	0.508717732839083
LOC101928203	11739	0.97450821954177	1.01981283887579
LOC101928241	11748	0.487254109770885	0.0
LOC101928259	11751	0.487254109770885	0.0
LOC101928279	11757	2.43627054885443	2.03724830455395
LOC101928304	11763	0.487254109770885	0.508717732839083
LOC101928371	11776	0.97450821954177	0.511095106036702
LOC101928414	11784	0.488728201142446	0.0
LOC101928449	11796	0.487254109770885	0.0
LOC101928530	11813	0.97450821954177	0.511095106036702
LOC101928605	11825	1.46471051205578	1.0221902120734
LOC101928694	11836	0.487254109770885	0.0
LOC101928708	11840	0.487254109770885	0.0
LOC101928751	11849	0.487254109770885	0.508717732839083
LOC101928786	11856	0.488728201142446	0.508717732839083
LOC101928880	11876	0.487254109770885	0.0
LOC101928882	11877	0.488728201142446	0.0
LOC101928886	11879	0.488728201142446	0.511095106036702
LOC101928896	11882	1.46323642068422	1.52853057171487
LOC101928977	11893	0.975982310913331	1.01743546567817
LOC101928988	11896	0.488728201142446	0.508717732839083
LOC101929294	11950	0.488728201142446	0.0
LOC101929372	11961	0.487254109770885	0.508717732839083
LOC101929374	11962	0.487254109770885	0.0
LOC101929378	11963	0.975982310913331	0.511095106036702
LOC101929413	11969	0.487254109770885	0.0
LOC101929468	11981	0.975982310913331	0.508717732839083
LOC101929516	11990	0.975982310913331	1.01981283887579
LOC101929579	12009	0.488728201142446	0.0
LOC101929657	12026	1.94901643908354	1.52853057171487
LOC101929717	12039	0.977456402284892	1.01981283887579
LOC101929719	12041	0.487254109770885	0.0
LOC101930071	12055	5.85589386547999	5.60302718082277
LOC102467222	12067	0.488728201142446	0.0
LOC102546226	12075	0.488728201142446	0.0
LOC102723385	12091	0.487254109770885	0.0
LOC102723439	12093	0.975982310913331	1.0221902120734
LOC102723729	12107	0.488728201142446	0.0
LOC102724050	12127	0.977456402284892	1.01981283887579
LOC102724163	12134	0.487254109770885	0.0
LOC102724297	12140	1.46176232931266	1.53328531811011
LOC102724301	12141	0.975982310913331	0.511095106036702
LOC102724601	12156	0.487254109770885	0.0
LOC102724784	12169	0.487254109770885	0.0
LOC105376671	12204	0.487254109770885	0.0
LOC148709	12224	9.76424538324799	9.68465590952353
LOC149950	12227	0.487254109770885	0.0
LOC151475	12232	0.487254109770885	0.0
LOC152225	12234	0.488728201142446	0.511095106036702
LOC153910	12237	0.488728201142446	0.0
LOC283045	12260	0.488728201142446	0.0
LOC283140	12261	5.3686397557091	5.09668682118131
LOC283710	12273	0.487254109770885	0.0
LOC284009	12277	0.975982310913331	0.508717732839083
LOC284648	12289	1.9504905304551	1.53090794491249
LOC284865	12294	0.488728201142446	0.0
LOC285593	12302	0.488728201142446	0.0
LOC285626	12303	0.487254109770885	0.0
LOC285692	12306	0.488728201142446	0.0
LOC286059	12316	0.488728201142446	0.511095106036702
LOC286114	12318	0.488728201142446	0.0
LOC338694	12325	0.487254109770885	0.0
LOC339975	12342	0.488728201142446	0.511095106036702
LOC340357	12347	0.488728201142446	0.0
LOC340512	12348	2.44069282296911	2.55072078378827
LOC387810	12356	0.487254109770885	0.0
LOC388882	12365	0.488728201142446	0.0
LOC389332	12370	2.43921873159755	2.55072078378827
LOC400553	12390	0.487254109770885	0.0
LOC400685	12396	1.95196462182666	2.04200305094919
LOC400958	12404	0.487254109770885	0.0
LOC401242	12411	0.488728201142446	0.508717732839083
LOC407835	12422	0.487254109770885	0.0
LOC414300	12423	0.488728201142446	0.0
LOC440311	12431	0.488728201142446	0.508717732839083
LOC440390	12432	0.977456402284892	0.508717732839083
LOC494141	12458	0.487254109770885	0.0
LOC51145	12459	0.487254109770885	0.0
LOC613266	12472	0.488728201142446	0.0
LOC642776	12481	27.822129272202	28.0484191288805
LOC643201	12487	0.487254109770885	0.0
LOC643387	12490	0.488728201142446	0.508717732839083
LOC643733	12496	0.487254109770885	0.508717732839083
LOC644919	12510	0.97450821954177	0.508717732839083
LOC650293	12538	0.487254109770885	0.0
LOC653160	12540	13.6622782614151	13.7662846382243
LOC654841	12547	4.39560562753889	4.58559171514461
LOC727924	12550	0.488728201142446	0.0
LOC728084	12553	0.488728201142446	0.511095106036702
LOC729506	12573	0.487254109770885	0.508717732839083
LOC729603	12574	8.7794185241053	8.66484307064775
LOC729930	12582	0.488728201142446	0.0
LOC80078	12597	0.487254109770885	0.0
LOXL2	12616	3.41667513388244	3.56815624946644
LOXL4	12618	12.692192315988	12.2425088129047
LPAL2	12620	3.90687742639644	4.0744966091079
LPIN3	12634	3.41667513388244	3.05706114342974
LPP-AS1	12638	0.487254109770885	0.0
LRAT	12646	1.46323642068422	1.52853057171487
LRFN4	12656	178.629822450456	178.961700296916
LRGUK	12659	2.44069282296911	2.03724830455395
LRIG3	12663	0.97450821954177	1.0221902120734
LRIT3	12666	0.975982310913331	1.01981283887579
LRP1-AS	12669	0.488728201142446	0.511095106036702
LRRC2-AS1	12698	0.488728201142446	0.0
LRRC31	12710	0.487254109770885	0.508717732839083
LRRC32	12711	22.9304249866628	22.4382598284649
LRRC37A2	12716	123.478714381309	123.896561744019
LRRC56	12742	18.0519875234677	17.836026500937
LRRC69	12750	1.9504905304551	2.03962567775157
LRRC71	12753	0.487254109770885	0.511095106036702
LRRC75B	12760	24.883863699861	24.4826402526117
LRRC9	12766	0.97450821954177	0.508717732839083
LRRIQ4	12773	0.487254109770885	0.508717732839083
LRRN1	12776	13.1764982430157	13.2551895321876
LRRN3	12778	26.8373024130593	26.5103790643752
LRTM2	12787	2.43921873159755	2.03724830455395
LSMEM2	12807	1.95196462182666	2.03487093135633
LTN1	12826	533.880013166051	533.870832464875
LUNAR1	12833	0.487254109770885	0.0
LURAP1	12834	18.0519875234677	18.3566310997641
LVCAT8	12843	0.977456402284892	0.511095106036702
LY86-AS1	12859	0.487254109770885	0.0
LYPD6B	12874	0.975982310913331	1.01743546567817
LYSMD1	12887	18.5407157246102	18.8629714594056
MACC1-AS1	12912	0.488728201142446	0.508717732839083
MAEL	12925	0.975982310913331	0.511095106036702
MAGEB4	12959	0.488728201142446	0.0
MAK16	12986	216.16312981653	216.219340827247
MAL	12987	2.43774464022599	2.54834341059065
MAMDC2-AS1	12995	0.975982310913331	1.0221902120734
MAP2	13030	2.43921873159755	2.54834341059065
MAPK8IP2	13084	1.46471051205578	1.01981283887579
MARCH10	13102	0.487254109770885	0.0
MARCO	13114	0.97450821954177	1.01981283887579
MASP1	13127	0.487254109770885	0.508717732839083
MBL1P	13163	5.36716566433754	5.09430944798369
MCF2	13192	0.488728201142446	0.0
MCF2L-AS1	13194	0.488728201142446	0.508717732839083
MCIDAS	13200	0.487254109770885	0.0
MDFI	13229	0.488728201142446	0.0
MEF2B	13287	0.488728201142446	0.0
MEGF10	13297	1.95343871319822	1.53328531811011
MESTIT1	13329	8.77794443273373	8.66484307064775
MFSD2B	13389	44.4138285577286	44.3559150581026
MFSD3	13390	42.941747588815	43.3551212048078
MFSD4	13391	19.0309180171242	19.3716891922447
MGC15885	13414	0.487254109770885	0.508717732839083
MGC72080	13426	31.2329080405982	31.6046885123589
MGP	13431	0.975982310913331	1.01981283887579
MIATNB	13442	14.6397346637	14.7837201039025
MIB2	13444	68.8015935995894	68.8456874303072
