GeneID	logFC	logCPM	F	PValue	FDR
ID_12811	0.00451043796961002	7.35352122187319	0.000871681734705885	0.976446677692967	1
ID_15263	0.00777939482720529	5.364500847245	0.000869276694522633	0.976479183466745	1
ID_20175	0.00658948979755659	5.76404810893163	0.000865858742255919	0.976525456973729	1
ID_26726	0.00547952850692053	6.28744790255099	0.00086416501757381	0.976548421119258	1
ID_23851	-0.00691026794174945	5.63928457915066	0.000862925367960263	0.976565243025899	1
ID_13360	-0.00518492379213494	6.45457024115039	0.000862161291128005	0.976575617487696	1
ID_17141	-0.0134719764065249	3.81020480054435	0.000862142272312848	0.976575875779527	1
ID_27808	-0.0110862307755332	4.15341201280873	0.000856076128725254	0.976658405223238	1
ID_22864	0.00499989334071603	6.57470068395612	0.000853746232499552	0.976690181047993	1
ID_25621	0.00494496350099103	6.65187596390816	0.000852235483982564	0.976710808286927	1
ID_1702	0.00548612164535556	6.27588282093331	0.000852154271091483	0.976711917657784	1
ID_14	-0.0736178306128144	1.08599914557225	0.000838948596280972	0.976893016877727	1
ID_20770	-0.0170573123082638	3.32125096399934	0.00083363594632106	0.976966275273306	1
ID_13822	0.0121920027619508	3.89062815417032	0.000831104110884777	0.977001270026022	1
ID_28018	0.00692464019008803	5.59734926040742	0.000827192029779443	0.977055447449963	1
ID_25733	-0.00844533149811861	4.9626639760912	0.000817131673203798	0.977195370363266	1
ID_9959	0.0117911219644421	3.98336959889172	0.000816378350186184	0.977205874014949	1
ID_3410	0.0186036222670149	3.36748206570778	0.000809932812169117	0.97729601097826	1
ID_24091	-0.00949862271268097	4.44344419173834	0.000809028124826079	0.977308691171179	1
ID_8530	-0.00581869962006789	6.0215492819929	0.000808288826226879	0.977319058527343	1
ID_20041	-0.0199280982447395	3.27720856262647	0.000790782119497181	0.97756596062247	1
ID_2779	-0.0112920562026042	4.07554166938312	0.000774380925506939	0.977799765191097	1
ID_15082	0.0079561805704345	5.1673553606103	0.000773468421257568	0.977812874593548	1
ID_27413	0.00999459964893241	4.33084472628724	0.000771472327585755	0.977841486046302	1
ID_16489	-0.00807302106805086	4.99263627268611	0.000770033160188034	0.977862158534208	1
ID_21453	0.00808968882517799	5.07233406687057	0.000767910368930947	0.977892686053232	1
ID_23164	0.0123032180575672	3.78880263497809	0.00076012428484787	0.978005019551841	1
ID_13616	-0.00877228993583196	4.59477133496641	0.000756799948656179	0.978053156643489	1
ID_5040	-0.0141988748317634	3.66497016859683	0.000756452435422809	0.97805819481165	1
ID_13010	0.00968362496762693	4.33041596903416	0.000755332657069896	0.978074436987934	1
ID_19799	-0.00800897858280844	5.04798710708992	0.000752713825688802	0.97811246975238	1
ID_9163	0.00616177910166023	5.737781395024	0.000747657902478919	0.978186083688633	1
ID_3542	-0.00746626991407674	5.29285065508878	0.000746599693590587	0.978201522638281	1
ID_11417	-0.00790991418569143	5.10922451273635	0.000745253083129378	0.978221185121299	1
ID_4188	-0.00745527743363895	5.29047916345981	0.000744168637158966	0.978237032545619	1
ID_25605	-0.00653881451295469	5.60672358609554	0.000744118323345405	0.978237768081055	1
ID_24334	0.00714166830980627	5.40514514891939	0.000742115427564837	0.978267068566547	1
ID_19219	0.00475894027744543	6.46930222323151	0.000740405123819267	0.978292120040697	1
ID_4035	-0.00806538058160362	4.90764773361439	0.000739635182065483	0.978303407123568	1
ID_8701	0.00836858074410772	4.81223514211954	0.000739544737221854	0.97830473339985	1
ID_8890	-0.00555665260293811	6.00324349333547	0.000737504890297163	0.978334667145288	1
ID_5925	-0.00775281196688272	5.10210259274493	0.000724712819269535	0.978523336573317	1
ID_1643	-0.00561309039623162	5.94903923532589	0.000723680224772207	0.97853863865984	1
ID_23555	-0.00708236526066066	5.40760146835217	0.000723217543003682	0.978545498715921	1
ID_16637	-0.00935676974226791	4.33324591412199	0.000714632945014432	0.978673180873552	1
ID_5940	0.0138419541321065	3.57878668282987	0.000703165807989442	0.978844939522946	1
ID_13109	-0.00664637790893534	5.50767169729034	0.0007017515910847	0.978866218925909	1
ID_25946	-0.00696019594026547	5.34106967075904	0.00070164512597188	0.978867821750552	1
ID_16801	0.00963143806988258	4.19116271801486	0.000701558276900222	0.978869129347226	1
ID_23279	0.00807312769766168	4.67041052518065	0.000697167445691968	0.978935353491023	1
ID_25473	0.00567573470519042	5.9011024260264	0.000693565902572684	0.978989810926292	1
ID_2961	-0.00856463910900604	4.42838529713902	0.000692860002565342	0.979000503090773	1
ID_24515	0.00719513294313951	5.28978825855568	0.000692804891691183	0.97900134758353	1
ID_10870	-0.00752117584979728	5.1501396227462	0.000690795067524896	0.979031814928875	1
ID_20684	-0.00529287358769107	6.05304813226205	0.000688552131953152	0.979065872243012	1
ID_8330	-0.00725694104980997	5.18929905489516	0.000686893206577899	0.979091099917367	1
ID_6497	-0.0106385321137063	4.13474223504679	0.000681005728330537	0.979180879191609	1
ID_3955	-0.00893041616456831	4.38271505018942	0.000680457589093264	0.979189257597596	1
ID_20837	0.00709177386178574	5.20471249715181	0.000677541569341108	0.979233886356617	1
ID_20082	-0.0073583909300764	5.15780993040562	0.000675608068045383	0.979263530987109	1
ID_2975	-0.00852068833395828	4.60505680985299	0.000675226291347616	0.979269389440773	1
ID_857	-0.0105360367396145	3.94199432297676	0.000669728399360766	0.979353940402043	1
ID_5879	-0.00757370513683695	5.03498507531235	0.00066759870055642	0.979386785880753	1
ID_20641	0.0134360231408564	3.64322897547812	0.000666659127650081	0.979401293196356	1
ID_2517	-0.0116757651493693	3.81509052356094	0.00066369425037427	0.979447139078522	1
ID_6707	-0.011648365875959	3.80099078547052	0.000655682299932362	0.979571542956724	1
ID_14165	-0.00886276526453399	4.40732214553343	0.000651356380263913	0.97963902903754	1
ID_7917	-0.00896404571105964	4.30581543000106	0.000645084393400485	0.979737274070715	1
ID_23447	-0.00675997205912751	5.29558931921755	0.000643688483205439	0.979759204680871	1
ID_22520	-0.0043959627442896	6.54578016284823	0.00063915401946256	0.979830608583917	1
ID_241	-0.00938700364815689	4.1833982963899	0.000635570100253148	0.979887223833951	1
ID_10683	0.00879540902607165	4.37096868958497	0.000632499820340226	0.979935852270045	1
ID_21582	0.00788504504885283	4.73134456245478	0.000628580624755678	0.979998098125296	1
ID_9610	-0.00836578766510922	4.43177123338213	0.000625987573202374	0.980039388547679	1
ID_21503	0.0112632681052575	3.79843249490101	0.000621711643232078	0.980107663608532	1
ID_3543	0.023719962748196	2.67135739429641	0.00061775802523403	0.980171001561738	1
ID_16399	-0.015716371758616	3.35426176208572	0.000612851751496235	0.98024988396598	1
ID_3060	-0.00704698583509425	5.1717988398485	0.000610474233940287	0.980288223012587	1
ID_6777	0.00845355679595781	4.32077008249998	0.000603571299133287	0.980399962717291	1
ID_13805	-0.0078030867857428	4.5511214691736	0.000602423265634279	0.980418608142342	1
ID_856	0.00920898923981806	4.14356548943178	0.000595787358512854	0.980526733256817	1
ID_12040	-0.00539989091898675	5.80981593639061	0.00059186379733151	0.980590947137856	1
ID_27820	0.00749413705519849	4.86064145422711	0.000588629528180629	0.980644040217905	1
ID_22373	-0.0119070651639327	3.65670065291597	0.000588558019359348	0.980645218726581	1
ID_20778	0.00738139287334094	4.65018165514798	0.000587386552086487	0.980664483462045	1
ID_6586	-0.00478079352590884	6.06058375487299	0.00058018385128793	0.98078337485846	1
ID_858	-0.0067877042174718	5.18268431748367	0.000578047333293011	0.980818783123913	1
ID_12670	0.00771444390747341	4.61160961766289	0.000572589802829318	0.980909528511764	1
ID_17799	0.00634384188420195	5.30456759595397	0.000572038591305263	0.9809187178251	1
ID_9086	-0.0101905540905412	3.85780507148308	0.000568576266695252	0.980976540239667	1
ID_5734	0.0119208263152297	3.68544860199552	0.000567988452266945	0.980986374485562	1
ID_1368	-0.00482780152322086	6.05075489563892	0.000564470433118937	0.981045338336421	1
ID_15073	0.0100457165436351	4.02239099577934	0.000557986039774182	0.981154503943263	1
ID_9243	0.00481607687656276	6.06725976303519	0.000557476113572047	0.981163127164093	1
ID_24289	0.00628609830035347	5.28378773116812	0.000557454884699543	0.981163474063116	1
ID_3768	-0.00602586707698406	5.4568630953195	0.000554536432765183	0.981212837203536	1
ID_11443	-0.00734300791763023	4.69711572276963	0.000554048665528745	0.981221100037909	1
ID_20194	0.00414801241210686	6.47764770718778	0.000552714363304452	0.9812437218867	1
ID_6773	-0.00951276138950599	3.91485405624253	0.000549646237383984	0.981295842961746	1
ID_7388	-0.012503104497712	3.4612224469726	0.000548270946199752	0.981319253534627	1
ID_10196	0.0061786991783289	5.39707651533497	0.000545565471758073	0.981365392739915	1
ID_6508	0.00470852496699321	6.03515515196555	0.000538101023279469	0.981493288490221	1
ID_5625	0.00866292948623338	4.29233570886145	0.000533001124948008	0.981581181088675	1
ID_1763	0.0075019021364978	4.59659273812584	0.000531481882294472	0.981607448751756	1
ID_25269	-0.0097273456036762	3.94328393268168	0.000531266895740057	0.981611164902741	1
ID_14829	-0.00666627383936918	5.01140745870358	0.000525364488914873	0.981713582752235	1
ID_26070	-0.0101974010297848	3.81318725712377	0.000525321468057889	0.981714331352214	1
ID_11927	0.00975410434990438	3.91510732207613	0.000519306730586961	0.981819296586218	1
ID_7606	-0.00672581603721951	4.98144384916204	0.000516783583119879	0.981863509888193	1
ID_16556	0.00936765862841324	4.04971805125252	0.000510983176517112	0.981965562139364	1
ID_8783	-0.00649831122083407	5.02868619513059	0.000495827033848894	0.982234987930493	1
ID_16788	-0.00698562654577548	4.77329327106603	0.000495351543719152	0.982243512848486	1
ID_4400	-0.00828719753322513	4.22339197452933	0.000490786640681913	0.982325499988466	1
ID_9836	0.00637756392017962	5.07894087996181	0.000480915879431059	0.982504109827546	1
ID_2882	-0.00585488655163059	5.31798516140623	0.000479500226895449	0.982529875654733	1
ID_639	0.00664857481649956	4.762917461054	0.00047840246157571	0.982549881926892	1
ID_7219	-0.00508806330772247	5.67453231785495	0.000475326070581378	0.982606070428732	1
ID_16293	0.00799115369255247	4.24710311188929	0.000474799893052381	0.982615698955804	1
ID_6830	0.00953793227148448	3.82196690951752	0.000473610749349607	0.982637478788417	1
ID_19412	-0.00669334131394049	4.76323980344442	0.000469504093996275	0.982712905624806	1
ID_4518	-0.00460290551843963	5.84031692152295	0.000468794090979041	0.98272597964666	1
ID_22660	0.00601251169803806	5.22279703925208	0.000468395922364255	0.982733315873434	1
ID_21446	-0.00525419609552052	5.57603406404928	0.00046786394785172	0.982743122333833	1
ID_20742	-0.0113092310799989	3.5488620484703	0.00046564661283625	0.982784057065049	1
ID_552	-0.00643303703775972	4.94278143544193	0.000463461882499029	0.982824485352148	1
ID_12203	-0.005467241685297	5.48107392461176	0.000460551346797872	0.982878493010208	1
ID_14275	-0.010116779451872	3.72616892372191	0.000455985975522846	0.982963552770415	1
ID_22442	-0.0116392376854633	3.58001588029848	0.000447734349317031	0.983118381026689	1
ID_25297	0.00626501918736448	4.88092689566459	0.000447009363054695	0.983132052163633	1
ID_5179	0.00612664704208213	5.10099909493081	0.00044598064862215	0.983151469781189	1
ID_25118	0.0182156421326159	2.86296994248238	0.000445140892962651	0.983167337301327	1
ID_8501	-0.00332679628083008	7.02406750458904	0.000444420113991063	0.983180968654989	1
ID_24309	-0.00805842309834401	4.09405926897184	0.000444220613254164	0.983184743561594	1
